流水序,教育部字號,Unicode,常用字,
1769,A01769,65d6,旖,旖
1770,A01770,65e2,既,既
1771,A01771,65e5,日,日
1772,A01772,65e6,旦,旦
1773,A01773,65e9,早,早
1774,A01774,65e8,旨,旨
1775,A01775,65ec,旬,旬
1776,A01776,65ed,旭,旭
1777,A01777,65f1,旱,旱
1778,A01778,65fa,旺,旺
1779,A01779,6614,昔,昔
1780,A01780,6613,易,易
1781,A01781,660c,昌,昌
1782,A01782,6606,昆,昆
1783,A01783,6602,昂,昂
1784,A01784,660e,明,明
1785,A01785,6600,昀,昀
1786,A01786,660f,昏,昏
1787,A01787,6625,春,春
1788,A01788,662d,昭,昭
1789,A01789,6620,映,映
1790,A01790,6627,昧,昧
1791,A01791,662f,是,是
1792,A01792,661f,星,星
1793,A01793,6628,昨,昨
1794,A01794,6642,時,时
1795,A01795,6649,晉,晋
1796,A01796,664f,晏,晏
1797,A01797,6643,晃,晃
1798,A01798,6652,晒,晒
1799,A01799,664c,晌,晌
1800,A01800,665d,晝,昼
1801,A01801,665a,晚,晚
1802,A01802,6664,晤,晤
1803,A01803,6668,晨,晨
1804,A01804,6666,晦,晦
1805,A01805,666e,普,普
1806,A01806,6670,晰,晰
1807,A01807,6674,晴,晴
1808,A01808,6676,晶,晶
1809,A01809,666f,景,景
1810,A01810,6691,暑,暑
1811,A01811,667a,智,智
1812,A01812,6697,暗,暗
1813,A01813,6689,暉,晖
1814,A01814,6687,暇,暇
1815,A01815,6688,暈,晕
1816,A01816,6696,暖,暖
1817,A01817,66a2,暢,畅
1818,A01818,66a8,暨,暨
1819,A01819,66ae,暮,暮
1820,A01820,66ab,暫,暂
1821,A01821,66b4,暴,暴
1822,A01822,66c6,曆,历
1823,A01823,66c9,曉,晓
1824,A01824,66b9,暹,暹
1825,A01825,66d9,曙,曙
1826,A01826,66d6,曖,暧
1827,A01827,66e0,曠,旷
1828,A01828,66dd,曝,曝
1829,A01829,66e6,曦,曦
1830,A01830,66f0,曰,曰
1831,A01831,66f2,曲,曲
1832,A01832,66f3,曳,曳
1833,A01833,66f4,更,更
1834,A01834,66f7,曷,曷
1835,A01835,66f8,書,书
1836,A01836,66f9,曹,曹
1837,A01837,52d7,勗,勖
1838,A01838,66fe,曾,曾
1839,A01839,66ff,替,替
1840,A01840,6703,會,会
1841,A01841,6708,月,月
1842,A01842,6709,有,有
1843,A01843,670d,服,服
1844,A01844,670b,朋,朋
1845,A01845,6714,朔,朔
1846,A01846,6715,朕,朕
1847,A01847,6717,朗,朗
1848,A01848,671b,望,望
1849,A01849,671f,期,期
1850,A01850,671d,朝,朝
1851,A01851,6726,朦,朦
1852,A01852,6727,朧,胧
1853,A01853,6728,木,木
1854,A01854,672e,朮,术
1855,A01855,672c,本,本
1856,A01856,672a,未,未
1857,A01857,672b,末,末
1858,A01858,672d,札,札
1859,A01859,673d,朽,朽
1860,A01860,6734,朴,朴
1861,A01861,6731,朱,朱
1862,A01862,6735,朵,朵
1863,A01863,675f,束,束
1864,A01864,674e,李,李
1865,A01865,674f,杏,杏
1866,A01866,6750,材,材
1867,A01867,6751,村,村
1868,A01868,675c,杜,杜
1869,A01869,6756,杖,杖
1870,A01870,675e,杞,杞
1871,A01871,6749,杉,杉
1872,A01872,676d,杭,杭
1873,A01873,678b,枋,枋
1874,A01874,6795,枕,枕
1875,A01875,6771,東,东
1876,A01876,679c,果,果
1877,A01877,6773,杳,杳
1878,A01878,6777,杷,杷
1879,A01879,6787,枇,枇
1880,A01880,679d,枝,枝
1881,A01881,6797,林,林
1882,A01882,676f,杯,杯
1883,A01883,6770,杰,杰
1884,A01884,677f,板,板
1885,A01885,6789,枉,枉
1886,A01886,677e,松,松
1887,A01887,6790,析,析
1888,A01888,6775,杵,杵
1889,A01889,679a,枚,枚
1890,A01890,67ff,柿,柿
1891,A01891,67d3,染,染
1892,A01892,67f1,柱,柱
1893,A01893,67d4,柔,柔
1894,A01894,67d0,某,某
1895,A01895,67ec,柬,柬
1896,A01896,67b6,架,架
1897,A01897,67af,枯,枯
1898,A01898,67f5,柵,栅
1899,A01899,67e9,柩,柩
1900,A01900,67ef,柯,柯
1901,A01901,67c4,柄,柄
1902,A01902,67d1,柑,柑
1903,A01903,67b4,枴,拐
1904,A01904,67da,柚,柚
1905,A01905,67e5,查,查
1906,A01906,67b8,枸,枸
1907,A01907,67cf,柏,柏
1908,A01908,67de,柞,柞
1909,A01909,67f3,柳,柳
1910,A01910,6821,校,校
1911,A01911,6838,核,核
1912,A01912,6848,案,案
1913,A01913,6846,框,框
1914,A01914,6853,桓,桓
1915,A01915,6839,根,根
1916,A01916,6842,桂,桂
1917,A01917,6854,桔,桔
1918,A01918,6829,栩,栩
1919,A01919,68b3,梳,梳
1920,A01920,6817,栗,栗
1921,A01921,684c,桌,桌
1922,A01922,6851,桑,桑
1923,A01923,683d,栽,栽
1924,A01924,67f4,柴,柴
1925,A01925,6850,桐,桐
1926,A01926,6840,桀,桀
1927,A01927,683c,格,格
1928,A01928,6843,桃,桃
1929,A01929,682a,株,株
1930,A01930,6845,桅,桅
1931,A01931,6813,栓,栓
1932,A01932,6881,梁,梁
1933,A01933,68af,梯,梯
1934,A01934,68a2,梢,梢
1935,A01935,6893,梓,梓
1936,A01936,68b5,梵,梵
1937,A01937,687f,桿,杆
1938,A01938,6876,桶,桶
1939,A01939,68b1,梱,梱
1940,A01940,68a7,梧,梧
1941,A01941,6897,梗,梗
1942,A01942,68b0,械,械
1943,A01943,6883,梃,梃
1944,A01944,68c4,棄,弃
1945,A01945,68ad,梭,梭
1946,A01946,6886,梆,梆
1947,A01947,6885,梅,梅
1948,A01948,6894,梔,栀
1949,A01949,689d,條,条
1950,A01950,68a8,梨,梨
1951,A01951,689f,梟,枭
1952,A01952,68fa,棺,棺
1953,A01953,68d5,棕,棕
1954,A01954,68e0,棠,棠
1955,A01955,68d8,棘,棘
1956,A01956,68d7,棗,枣
1957,A01957,6905,椅,椅
1958,A01958,68df,棟,栋
1959,A01959,68f5,棵,棵
1960,A01960,68ee,森,森
1961,A01961,68e7,棧,栈
1962,A01962,68f9,棹,棹
1963,A01963,68d2,棒,棒
1964,A01964,68f2,棲,栖
1965,A01965,68e3,棣,棣
1966,A01966,68cb,棋,棋
1967,A01967,68cd,棍,棍
1968,A01968,690d,植,植
1969,A01969,6912,椒,椒
1970,A01970,690e,椎,椎
1971,A01971,68c9,棉,棉
1972,A01972,68da,棚,棚
1973,A01973,6994,榔,榔
1974,A01974,696d,業,业
1975,A01975,695a,楚,楚
1976,A01976,6977,楷,楷
1977,A01977,6960,楠,楠
1978,A01978,6954,楔,楔
1979,A01979,6975,極,极
1980,A01980,6930,椰,椰
1981,A01981,6982,概,概
1982,A01982,694a,楊,杨
1983,A01983,6968,楨,桢
1984,A01984,696b,楫,楫
1985,A01985,695e,楞,楞
1986,A01986,6953,楓,枫
1987,A01987,6979,楹,楹
1988,A01988,6986,榆,榆
1989,A01989,699c,榜,榜
1990,A01990,69a8,榨,榨
1991,A01991,6995,榕,榕
1992,A01992,69c1,槁,槁
1993,A01993,69ae,榮,荣
1994,A01994,69d3,槓,杠
1995,A01995,69cb,構,构
1996,A01996,699b,榛,榛
1997,A01997,69b7,榷,榷
1998,A01998,69bb,榻,榻
1999,A01999,69ab,榫,榫
2000,A02000,69b4,榴,榴
2001,A02001,69d0,槐,槐
2002,A02002,69cd,槍,枪
2003,A02003,69ad,榭,榭
2004,A02004,69cc,槌,槌
2005,A02005,6a23,樣,样
2006,A02006,6a1f,樟,樟
2007,A02007,69e8,槨,椁
2008,A02008,6a01,樁,桩
2009,A02009,6a1e,樞,枢
2010,A02010,6a19,標,标
2011,A02011,69fd,槽,槽
2012,A02012,6a21,模,模
2013,A02013,6a13,樓,楼
2014,A02014,6a0a,樊,樊
2015,A02015,69f3,槳,桨
2016,A02016,6a02,樂,乐
2017,A02017,6a05,樅,枞
2018,A02018,6a3d,樽,樽
2019,A02019,6a38,樸,朴
2020,A02020,6a3a,樺,桦
2021,A02021,6a59,橙,橙
2022,A02022,6a6b,橫,横
2023,A02023,6a58,橘,橘
2024,A02024,6a39,樹,树
2025,A02025,6a44,橄,橄
2026,A02026,6a62,橢,椭
2027,A02027,6a61,橡,橡
2028,A02028,6a4b,橋,桥
2029,A02029,6a47,橇,橇
2030,A02030,6a35,樵,樵
2031,A02031,6a5f,機,机
2032,A02032,6a80,檀,檀
2033,A02033,6a94,檔,档
2034,A02034,6a84,檄,檄
2035,A02035,6aa2,檢,检
2036,A02036,6a9c,檜,桧
2037,A02037,6adb,櫛,栉
2038,A02038,6ab3,檳,槟
2039,A02039,6aac,檬,檬
2040,A02040,6ac3,櫃,柜
2041,A02041,6abb,檻,槛
2042,A02042,6ab8,檸,柠
2043,A02043,6ac2,櫂,棹
2044,A02044,6ae5,櫥,橱
2045,A02045,6add,櫝,椟
2046,A02046,6ada,櫚,榈
2047,A02047,6ad3,櫓,橹
2048,A02048,6afb,櫻,樱
2049,A02049,6b04,欄,栏
2050,A02050,6b0a,權,权
2051,A02051,6b16,欖,榄
2052,A02052,6b20,欠,欠
2053,A02053,6b21,次,次
2054,A02054,6b23,欣,欣
2055,A02055,6b32,欲,欲
2056,A02056,6b3e,款,款
2057,A02057,6b3a,欺,欺
2058,A02058,6b3d,欽,钦
2059,A02059,6b47,歇,歇
2060,A02060,6b49,歉,歉
2061,A02061,6b4c,歌,歌
2062,A02062,6b50,歐,欧
2063,A02063,6b59,歙,歙
2064,A02064,6b5f,歟,欤
2065,A02065,6b61,歡,欢
2066,A02066,6b62,止,止
2067,A02067,6b63,正,正
2068,A02068,6b64,此,此
2069,A02069,6b65,步,步
2070,A02070,6b66,武,武
2071,A02071,6b67,歧,歧
2072,A02072,6b6a,歪,歪
2073,A02073,6b72,歲,岁
2074,A02074,6b77,歷,历
2075,A02075,6b78,歸,归
2076,A02076,6b79,歹,歹
2077,A02077,6b7b,死,死
2078,A02078,6b7f,歿,殁
2079,A02079,6b83,殃,殃
2080,A02080,6b86,殆,殆
2081,A02081,6b8a,殊,殊
2082,A02082,6b89,殉,殉
2083,A02083,6b98,殘,残
2084,A02084,6b96,殖,殖
2085,A02085,6ba4,殤,殇
2086,A02086,6bae,殮,殓
2087,A02087,6baf,殯,殡
2088,A02088,6bb2,殲,歼
2089,A02089,6bb5,段,段
2090,A02090,6bb7,殷,殷
2091,A02091,6bba,殺,杀
2092,A02092,6bbc,殼,壳
2093,A02093,6bc0,毀,毁
2094,A02094,6bbf,殿,殿
2095,A02095,6bc5,毅,毅
2096,A02096,6bc6,毆,殴
2097,A02097,6bcb,毋,毋
2098,A02098,6bcd,母,母
2099,A02099,6bcf,每,每
2100,A02100,6bd2,毒,毒
2101,A02101,6bd3,毓,毓
2102,A02102,6bd4,比,比
2103,A02103,6bd7,毗,毗
2104,A02104,6bdb,毛,毛
2105,A02105,6beb,毫,毫
2106,A02106,6bef,毯,毯
2107,A02107,6bfd,毽,毽
2108,A02108,6c0f,氏,氏
2109,A02109,6c11,民,民
2110,A02110,6c10,氐,氐
2111,A02111,6c13,氓,氓
2112,A02112,6c16,氖,氖
2113,A02113,6c1b,氛,氛
2114,A02114,6c1f,氟,氟
2115,A02115,6c23,氣,气
2116,A02116,6c27,氧,氧
2117,A02117,6c28,氨,氨
2118,A02118,6c26,氦,氦
2119,A02119,6c24,氤,氤
2120,A02120,6c2b,氫,氢
2121,A02121,6c2e,氮,氮
2122,A02122,6c2f,氯,氯
2123,A02123,6c33,氳,氲
2124,A02124,6c34,水,水
2125,A02125,6c38,永,永
2126,A02126,6c41,汁,汁
2127,A02127,6c40,汀,汀
2128,A02128,6c3e,氾,泛
2129,A02129,6c42,求,求
2130,A02130,6c5d,汝,汝
2131,A02131,6c57,汗,汗
2132,A02132,6c59,汙,污
2133,A02133,6c5f,江,江
2134,A02134,6c60,池,池
2135,A02135,6c50,汐,汐
2136,A02136,6c55,汕,汕
2137,A02137,6c5e,汞,汞
2138,A02138,6c99,沙,沙
2139,A02139,6c81,沁,沁
2140,A02140,6c88,沈,沉
2141,A02141,6c89,沉,沉
2142,A02142,6c85,沅,沅
2143,A02143,6c9b,沛,沛
2144,A02144,6c6a,汪,汪
2145,A02145,6c7a,決,决
2146,A02146,6c90,沐,沐
2147,A02147,6c70,汰,汰
2148,A02148,6c8c,沌,沌
2149,A02149,6c69,汨,汨
2150,A02150,6c96,沖,冲
2151,A02151,6c92,沒,没
2152,A02152,6c7d,汽,汽
2153,A02153,6c83,沃,沃
2154,A02154,6c72,汲,汲
2155,A02155,6c7e,汾,汾
2156,A02156,6ce3,泣,泣
2157,A02157,6ce8,注,注
2158,A02158,6cf3,泳,泳
2159,A02159,6cb1,沱,沱
2160,A02160,6ccc,泌,泌
2161,A02161,6ce5,泥,泥
2162,A02162,6cb3,河,河
2163,A02163,6cbd,沽,沽
2164,A02164,6cbe,沾,沾
2165,A02165,6cbc,沼,沼
2166,A02166,6ce2,波,波
2167,A02167,6cab,沫,沫
2168,A02168,6cd5,法,法
2169,A02169,6cd3,泓,泓
2170,A02170,6cb8,沸,沸
2171,A02171,6cc4,泄,泄
2172,A02172,6cb9,油,油
2173,A02173,6cc1,況,况
2174,A02174,6cae,沮,沮
2175,A02175,6cd7,泗,泗
2176,A02176,6cc5,泅,泅
2177,A02177,6cf1,泱,泱
2178,A02178,6cbf,沿,沿
2179,A02179,6cbb,治,治
2180,A02180,6ce1,泡,泡
2181,A02181,6cdb,泛,泛
2182,A02182,6cca,泊,泊
2183,A02183,6cc9,泉,泉
2184,A02184,6cf0,泰,泰
2185,A02185,6d0b,洋,洋
2186,A02186,6d32,洲,洲
2187,A02187,6d2a,洪,洪
2188,A02188,6d41,流,流
2189,A02189,6d25,津,津
2190,A02190,6d0c,洌,洌
2191,A02191,6d31,洱,洱
2192,A02192,6d1e,洞,洞
2193,A02193,6d17,洗,洗
2194,A02194,6d3b,活,活
2195,A02195,6d3d,洽,洽
2196,A02196,6d3e,派,派
2197,A02197,6d36,洶,汹
2198,A02198,6d1b,洛,洛
2199,A02199,6d6a,浪,浪
2200,A02200,6d95,涕,涕
2201,A02201,6d88,消,消
2202,A02202,6d87,涇,泾
2203,A02203,6d66,浦,浦
2204,A02204,6d78,浸,浸
2205,A02205,6d77,海,海
2206,A02206,6d59,浙,浙
2207,A02207,6d93,涓,涓
2208,A02208,6d6c,浬,浬
2209,A02209,6d89,涉,涉
2210,A02210,6d6e,浮,浮
2211,A02211,6d5a,浚,浚
2212,A02212,6d74,浴,浴
2213,A02213,6d69,浩,浩
2214,A02214,6d8e,涎,涎
2215,A02215,6dbc,涼,凉
2216,A02216,6df3,淳,淳
2217,A02217,6dd9,淙,淙
2218,A02218,6db2,液,液
2219,A02219,6de1,淡,淡
2220,A02220,6dcc,淌,淌
2221,A02221,6de4,淤,淤
2222,A02222,6dfb,添,添
2223,A02223,6dfa,淺,浅
2224,A02224,6e05,清,清
2225,A02225,6dc7,淇,淇
2226,A02226,6dcb,淋,淋
2227,A02227,6daf,涯,涯
2228,A02228,6dd1,淑,淑
2229,A02229,6dae,涮,涮
2230,A02230,6dde,淞,淞
2231,A02231,6df9,淹,淹
2232,A02232,6db8,涸,涸
2233,A02233,6df7,混,混
2234,A02234,6df5,淵,渊
2235,A02235,6dc5,淅,淅
2236,A02236,6dd2,淒,凄
2237,A02237,6e1a,渚,渚
2238,A02238,6db5,涵,涵
2239,A02239,6dda,淚,泪
2240,A02240,6deb,淫,淫
2241,A02241,6dd8,淘,淘
2242,A02242,6dea,淪,沦
2243,A02243,6df1,深,深
2244,A02244,6dee,淮,淮
2245,A02245,6de8,淨,净
2246,A02246,6dc6,淆,淆
2247,A02247,6dc4,淄,淄
2248,A02248,6e2f,港,港
2249,A02249,6e38,游,游
2250,A02250,6e54,湔,湔
2251,A02251,6e21,渡,渡
2252,A02252,6e32,渲,渲
2253,A02253,6e67,湧,涌
2254,A02254,6e4a,湊,凑
2255,A02255,6e20,渠,渠
2256,A02256,6e25,渥,渥
2257,A02257,6e23,渣,渣
2258,A02258,6e1b,減,减
2259,A02259,6e5b,湛,湛
2260,A02260,6e58,湘,湘
2261,A02261,6e24,渤,渤
2262,A02262,6e56,湖,湖
2263,A02263,6e6e,湮,湮
2264,A02264,6e2d,渭,渭
2265,A02265,6e26,渦,涡
2266,A02266,6e6f,湯,汤
2267,A02267,6e34,渴,渴
2268,A02268,6e4d,湍,湍
2269,A02269,6e3a,渺,渺
2270,A02270,6e2c,測,测
2271,A02271,6e43,湃,湃
2272,A02272,6e1d,渝,渝
2273,A02273,6e3e,渾,浑
2274,A02274,6ecb,滋,滋
2275,A02275,6e89,溉,溉
2276,A02276,6e19,渙,涣
2277,A02277,6ea2,溢,溢
2278,A02278,6eaf,溯,溯
2279,A02279,6ed3,滓,滓
2280,A02280,6eb6,溶,溶
2281,A02281,6ec2,滂,滂
2282,A02282,6e90,源,源
2283,A02283,6e9d,溝,沟
2284,A02284,6ec7,滇,滇
2285,A02285,6ec5,滅,灭
2286,A02286,6ea5,溥,溥
2287,A02287,6e98,溘,溘
2288,A02288,6ebc,溼,湿
2289,A02289,6eba,溺,溺
2290,A02290,6eab,溫,温
2291,A02291,6ed1,滑,滑
2292,A02292,6e96,準,准
2293,A02293,6e9c,溜,溜
2294,A02294,6ec4,滄,沧
2295,A02295,6ed4,滔,滔
2296,A02296,6eaa,溪,溪
2297,A02297,6f33,漳,漳
2298,A02298,6f14,演,演
2299,A02299,6efe,滾,滚
2300,A02300,6f13,漓,漓
2301,A02301,6ef4,滴,滴
2302,A02302,6f29,漩,漩
2303,A02303,6f3e,漾,漾
2304,A02304,6f20,漠,漠
2305,A02305,6f2c,漬,渍
2306,A02306,6f0f,漏,漏
2307,A02307,6f02,漂,漂
2308,A02308,6f22,漢,汉
2309,A02309,6eff,滿,满
2310,A02310,6eef,滯,滞
2311,A02311,6f06,漆,漆
2312,A02312,6f31,漱,漱
2313,A02313,6f38,漸,渐
2314,A02314,6f32,漲,涨
2315,A02315,6f23,漣,涟
2316,A02316,6f15,漕,漕
2317,A02317,6f2b,漫,漫
2318,A02318,6f2f,漯,漯
2319,A02319,6f88,澈,澈
2320,A02320,6f2a,漪,漪
2321,A02321,6eec,滬,沪
2322,A02322,6f01,漁,渔
2323,A02323,6ef2,滲,渗
2324,A02324,6ecc,滌,涤
2325,A02325,6f3f,漿,浆
2326,A02326,6f7c,潼,潼
2327,A02327,6f84,澄,澄
2328,A02328,6f51,潑,泼
2329,A02329,6f66,潦,潦
2330,A02330,6f54,潔,洁
2331,A02331,6f86,澆,浇
2332,A02332,6f6d,潭,潭
2333,A02333,6f5b,潛,潜
2334,A02334,6f78,潸,潸
2335,A02335,6f6e,潮,潮
2336,A02336,6f8e,澎,澎
2337,A02337,6f7a,潺,潺
2338,A02338,6f70,潰,溃
2339,A02339,6f64,潤,润
2340,A02340,6f97,澗,涧
2341,A02341,6f58,潘,潘
2342,A02342,6fc2,濂,濂
2343,A02343,6fb1,澱,淀
2344,A02344,6fa1,澡,澡
2345,A02345,6fc3,濃,浓
2346,A02346,6fa4,澤,泽
2347,A02347,6fc1,濁,浊
2348,A02348,6fa7,澧,澧
2349,A02349,6fb3,澳,澳
2350,A02350,6fc0,激,激
2351,A02351,6fb9,澹,澹
2352,A02352,6fd8,濘,泞
2353,A02353,6ff1,濱,滨
2354,A02354,6fdf,濟,济
2355,A02355,6fe0,濠,濠
2356,A02356,6fdb,濛,蒙
2357,A02357,6fe4,濤,涛
2358,A02358,6feb,濫,滥
2359,A02359,6fef,濯,濯
2360,A02360,6f80,澀,涩
2361,A02361,6fec,濬,浚
2362,A02362,6fe1,濡,濡
2363,A02363,7009,瀉,泻
2364,A02364,700b,瀋,沈
2365,A02365,6ffe,濾,滤
2366,A02366,7006,瀆,渎
2367,A02367,6ffa,濺,溅
2368,A02368,7011,瀑,瀑
2369,A02369,700f,瀏,浏
2370,A02370,701b,瀛,瀛
2371,A02371,701f,瀟,潇
2372,A02372,7028,瀨,濑
2373,A02373,701a,瀚,瀚
2374,A02374,701d,瀝,沥
2375,A02375,7015,瀕,濒
2376,A02376,703e,瀾,澜
2377,A02377,7030,瀰,弥
2378,A02378,704c,灌,灌
2379,A02379,7051,灑,洒
2380,A02380,7058,灘,滩
2381,A02381,7063,灣,湾
2382,A02382,7064,灤,滦
2383,A02383,706b,火,火
2384,A02384,7070,灰,灰
2385,A02385,7076,灶,灶
2386,A02386,707c,灼,灼
2387,A02387,707d,災,灾
2388,A02388,7078,灸,灸
2389,A02389,7095,炕,炕
2390,A02390,708e,炎,炎
2391,A02391,7092,炒,炒
2392,A02392,708a,炊,炊
2393,A02393,7099,炙,炙
2394,A02394,70ab,炫,炫
2395,A02395,70ba,為,为
2396,A02396,70b3,炳,炳
2397,A02397,70ac,炬,炬
2398,A02398,70af,炯,炯
2399,A02399,70ad,炭,炭
2400,A02400,70b8,炸,炸
2401,A02401,70ae,炮,炮
2402,A02402,70ca,烊,烊
2403,A02403,70d8,烘,烘
2404,A02404,70e4,烤,烤
2405,A02405,70d9,烙,烙
2406,A02406,70c8,烈,烈
2407,A02407,70cf,烏,乌
2408,A02408,70f9,烹,烹
2409,A02409,7109,焉,焉
2410,A02410,710a,焊,焊
2411,A02411,70fd,烽,烽
2412,A02412,7119,焙,焙
2413,A02413,711a,焚,焚
2414,A02414,7126,焦,焦
2415,A02415,7130,焰,焰
2416,A02416,7121,無,无
2417,A02417,7136,然,然
2418,A02418,716e,煮,煮
2419,A02419,714e,煎,煎
2420,A02420,7159,煙,烟
2421,A02421,7169,煩,烦
2422,A02422,7164,煤,煤
2423,A02423,7149,煉,炼
2424,A02424,7167,照,照
2425,A02425,715c,煜,煜
2426,A02426,716c,煬,炀
2427,A02427,7166,煦,煦
2428,A02428,714c,煌,煌
2429,A02429,7165,煥,焕
2430,A02430,715e,煞,煞
2431,A02431,7194,熔,熔
2432,A02432,7199,熙,熙
2433,A02433,717d,煽,煽
2434,A02434,718a,熊,熊
2435,A02435,7184,熄,熄
2436,A02436,719f,熟,熟
2437,A02437,71ac,熬,熬
2438,A02438,71b1,熱,热
2439,A02439,71a8,熨,熨
2440,A02440,71be,熾,炽
2441,A02441,71c9,燉,炖
2442,A02442,71d0,燐,燐
2443,A02443,71d2,燒,烧
2444,A02444,71c8,燈,灯
2445,A02445,71d5,燕,燕
2446,A02446,71b9,熹,熹
2447,A02447,71ce,燎,燎
2448,A02448,71d9,燙,烫
2449,A02449,71dc,燜,焖
2450,A02450,71c3,燃,燃
2451,A02451,71c4,燄,焰
2452,A02452,71e7,燧,燧
2453,A02453,71df,營,营
2454,A02454,71ee,燮,燮
2455,A02455,71e6,燦,灿
2456,A02456,71e5,燥,燥
2457,A02457,71ed,燭,烛
2458,A02458,71ec,燬,毁
2459,A02459,71f4,燴,烩
2460,A02460,71fb,燻,熏
2461,A02461,7206,爆,爆
2462,A02462,720d,爍,烁
2463,A02463,7210,爐,炉
2464,A02464,721b,爛,烂
2465,A02465,7228,爨,爨
2466,A02466,722a,爪,爪
2467,A02467,722c,爬,爬
2468,A02468,722d,爭,争
2469,A02469,7230,爰,爰
2470,A02470,7235,爵,爵
2471,A02471,7236,父,父
2472,A02472,7238,爸,爸
2473,A02473,7239,爹,爹
2474,A02474,723a,爺,爷
2475,A02475,723b,爻,爻
2476,A02476,723d,爽,爽
2477,A02477,723e,爾,尔
2478,A02478,7246,牆,墙
2479,A02479,7247,片,片
2480,A02480,7248,版,版
2481,A02481,724c,牌,牌
2482,A02482,7252,牒,牒
2483,A02483,7256,牖,牖
2484,A02484,7258,牘,牍
2485,A02485,7259,牙,牙
2486,A02486,725b,牛,牛
2487,A02487,725f,牟,牟
2488,A02488,725d,牝,牝
2489,A02489,7262,牢,牢
2490,A02490,7261,牡,牡
2491,A02491,7260,牠,它
2492,A02492,7267,牧,牧
2493,A02493,7269,物,物
2494,A02494,7272,牲,牲
2495,A02495,726f,牯,牯
2496,A02496,7274,牴,牴
2497,A02497,7279,特,特
2498,A02498,727d,牽,牵
2499,A02499,7281,犁,犁
2500,A02500,7284,犄,犄
2501,A02501,7280,犀,犀
2502,A02502,7292,犒,犒
2503,A02503,7296,犖,荦
2504,A02504,729b,犛,牦
2505,A02505,72a2,犢,犊
2506,A02506,72a7,犧,牺
2507,A02507,72ac,犬,犬
2508,A02508,72af,犯,犯
2509,A02509,72c4,狄,狄
2510,A02510,72c2,狂,狂
2511,A02511,72c0,狀,状
2512,A02512,72ce,狎,狎
2513,A02513,72d9,狙,狙
2514,A02514,72d7,狗,狗
2515,A02515,72d0,狐,狐
2516,A02516,72e9,狩,狩
2517,A02517,72e0,狠,狠
2518,A02518,72e1,狡,狡
2519,A02519,72fc,狼,狼
2520,A02520,72f9,狹,狭
2521,A02521,72fd,狽,狈
2522,A02522,72f8,狸,狸
2523,A02523,72f7,狷,狷
2524,A02524,731c,猜,猜
2525,A02525,731b,猛,猛
2526,A02526,7316,猖,猖
2527,A02527,7313,猓,猓
2528,A02528,7319,猙,狰
2529,A02529,7336,猶,犹
2530,A02530,7325,猥,猥
2531,A02531,7334,猴,猴
2532,A02532,7329,猩,猩
2533,A02533,7337,猷,猷
2534,A02534,7345,獅,狮
2535,A02535,733f,猿,猿
2536,A02536,733e,猾,猾
2537,A02537,7344,獄,狱
2538,A02538,7350,獐,獐
2539,A02539,734e,獎,奖
2540,A02540,7357,獗,獗
2541,A02541,7368,獨,独
2542,A02542,7370,獰,狞
2543,A02543,7372,獲,获
2544,A02544,7377,獷,犷
2545,A02545,7375,獵,猎
2546,A02546,7378,獸,兽
2547,A02547,737a,獺,獭
2548,A02548,737b,獻,献
2549,A02549,7380,玀,猡
2550,A02550,7384,玄,玄
2551,A02551,7387,率,率
2552,A02552,738b,王,王
2553,A02553,7389,玉,玉
2554,A02554,7396,玖,玖
2555,A02555,73a9,玩,玩
2556,A02556,73a8,玨,玨
2557,A02557,739f,玟,玟
2558,A02558,73ab,玫,玫
2559,A02559,73b7,玷,玷
2560,A02560,73ca,珊,珊
2561,A02561,73bb,玻,玻
2562,A02562,73b2,玲,玲
2563,A02563,73cd,珍,珍
2564,A02564,73c0,珀,珀
2565,A02565,73b3,玳,玳
2566,A02566,73ed,班,班
2567,A02567,7409,琉,琉
2568,A02568,73ee,珮,珮
2569,A02569,73e0,珠,珠
2570,A02570,7405,琅,琅
2571,A02571,740a,琊,琊
2572,A02572,7403,球,球
2573,A02573,7406,理,理
2574,A02574,73fe,現,现
2575,A02575,740d,琍,琍
2576,A02576,743a,琺,珐
2577,A02577,742a,琪,琪
2578,A02578,7433,琳,琳
2579,A02579,7422,琢,琢
2580,A02580,7425,琥,琥
2581,A02581,7435,琵,琵
2582,A02582,7436,琶,琶
2583,A02583,7434,琴,琴
2584,A02584,746f,瑯,琅
2585,A02585,745a,瑚,瑚
2586,A02586,7455,瑕,瑕
2587,A02587,745f,瑟,瑟
2588,A02588,745e,瑞,瑞
2589,A02589,7441,瑁,瑁
2590,A02590,743f,琿,珲
2591,A02591,7459,瑙,瑙
2592,A02592,745b,瑛,瑛
2593,A02593,745c,瑜,瑜
2594,A02594,7464,瑤,瑶
2595,A02595,7463,瑣,琐
2596,A02596,746a,瑪,玛
2597,A02597,7470,瑰,瑰
2598,A02598,7469,瑩,莹
2599,A02599,748b,璋,璋
2600,A02600,7483,璃,璃
2601,A02601,749c,璜,璜
2602,A02602,74a3,璣,玑
2603,A02603,74a9,璩,璩
2604,A02604,74b0,環,环
2605,A02605,74a6,璦,瑷
2606,A02606,74a7,璧,璧
2607,A02607,74bd,璽,玺
2608,A02608,74ca,瓊,琼
2609,A02609,74cf,瓏,珑
2610,A02610,74dc,瓜,瓜
2611,A02611,74e0,瓠,瓠
