流水序,教育部字號,Unicode,常用字,
317,A00317,51dc,凜,凛
318,A00318,51dd,凝,凝
319,A00319,51e0,几,几
320,A00320,51f0,凰,凰
321,A00321,51f1,凱,凯
322,A00322,51f3,凳,凳
323,A00323,51f6,凶,凶
324,A00324,51f9,凹,凹
325,A00325,51fa,出,出
326,A00326,51f8,凸,凸
327,A00327,51fd,函,函
328,A00328,5200,刀,刀
329,A00329,5201,刁,刁
330,A00330,5203,刃,刃
331,A00331,5206,分,分
332,A00332,5207,切,切
333,A00333,5208,刈,刈
334,A00334,520a,刊,刊
335,A00335,5217,列,列
336,A00336,5211,刑,刑
337,A00337,5212,划,划
338,A00338,520e,刎,刎
339,A00339,5225,別,别
340,A00340,5224,判,判
341,A00341,5229,利,利
342,A00342,522a,刪,删
343,A00343,5228,刨,刨
344,A00344,523b,刻,刻
345,A00345,5238,券,券
346,A00346,5237,刷,刷
347,A00347,523a,刺,刺
348,A00348,5230,到,到
349,A00349,522e,刮,刮
350,A00350,5236,制,制
351,A00351,5241,剁,剁
352,A00352,524e,剎,刹
353,A00353,5243,剃,剃
354,A00354,524a,削,削
355,A00355,524d,前,前
356,A00356,524c,剌,剌
357,A00357,524b,剋,克
358,A00358,5247,則,则
359,A00359,5256,剖,剖
360,A00360,525c,剜,剜
361,A00361,5254,剔,剔
362,A00362,525b,剛,刚
363,A00363,525d,剝,剥
364,A00364,526a,剪,剪
365,A00365,526f,副,副
366,A00366,5272,割,割
367,A00367,5274,剴,剀
368,A00368,5275,創,创
369,A00369,5269,剩,剩
370,A00370,527f,剿,剿
371,A00371,5277,剷,铲
372,A00372,527d,剽,剽
373,A00373,5283,劃,划
374,A00374,5287,劇,剧
375,A00375,5288,劈,劈
376,A00376,5289,劉,刘
377,A00377,528d,劍,剑
378,A00378,5291,劑,剂
379,A00379,529b,力,力
380,A00380,52a0,加,加
381,A00381,529f,功,功
382,A00382,52a3,劣,劣
383,A00383,52ab,劫,劫
384,A00384,52a9,助,助
385,A00385,52aa,努,努
386,A00386,52ac,劬,劬
387,A00387,52be,劾,劾
388,A00388,52c7,勇,勇
389,A00389,52c9,勉,勉
390,A00390,52c3,勃,勃
391,A00391,52c1,勁,劲
392,A00392,52d2,勒,勒
393,A00393,52d9,務,务
394,A00394,52d8,勘,勘
395,A00395,52d5,動,动
396,A00396,52de,勞,劳
397,A00397,52dd,勝,胜
398,A00398,52db,勛,勋
399,A00399,52df,募,募
400,A00400,52e6,勦,剿
401,A00401,52e4,勤,勤
402,A00402,52e2,勢,势
403,A00403,52f5,勵,励
404,A00404,52f8,勸,劝
405,A00405,52fb,勻,匀
406,A00406,52fe,勾,勾
407,A00407,52ff,勿,勿
408,A00408,5305,包,包
409,A00409,5306,匆,匆
410,A00410,5308,匈,匈
411,A00411,530d,匍,匍
412,A00412,5310,匐,匐
413,A00413,530f,匏,匏
414,A00414,5315,匕,匕
415,A00415,5316,化,化
416,A00416,5317,北,北
417,A00417,5319,匙,匙
418,A00418,531d,匝,匝
419,A00419,5321,匡,匡
420,A00420,5320,匠,匠
421,A00421,5323,匣,匣
422,A00422,532a,匪,匪
423,A00423,532f,匯,汇
424,A00424,5331,匱,匮
425,A00425,5339,匹,匹
426,A00426,533f,匿,匿
427,A00427,5340,區,区
428,A00428,533e,匾,匾
429,A00429,5341,十,十
430,A00430,5343,千,千
431,A00431,5348,午,午
432,A00432,5347,升,升
433,A00433,5345,卅,卅
434,A00434,4edf,仟,仟
435,A00435,534a,半,半
436,A00436,5349,卉,卉
437,A00437,5352,卒,卒
438,A00438,5354,協,协
439,A00439,5353,卓,卓
440,A00440,5351,卑,卑
441,A00441,5357,南,南
442,A00442,535a,博,博
443,A00443,535c,卜,卜
444,A00444,535e,卞,卞
445,A00445,5361,卡,卡
446,A00446,5360,占,占
447,A00447,5366,卦,卦
448,A00448,536f,卯,卯
449,A00449,536e,卮,卮
450,A00450,5370,印,印
451,A00451,5371,危,危
452,A00452,5373,即,即
453,A00453,5375,卵,卵
454,A00454,5377,卷,卷
455,A00455,5378,卸,卸
456,A00456,5379,卹,恤
457,A00457,537b,卻,却
458,A00458,537f,卿,卿
459,A00459,5384,厄,厄
460,A00460,539a,厚,厚
461,A00461,539f,原,原
462,A00462,539d,厝,厝
463,A00463,53a5,厥,厥
464,A00464,53ad,厭,厌
465,A00465,53b2,厲,厉
466,A00466,53bb,去,去
467,A00467,53c3,參,参
468,A00468,53c8,又,又
469,A00469,53c9,叉,叉
470,A00470,53cb,友,友
471,A00471,53ca,及,及
472,A00472,53cd,反,反
473,A00473,53d6,取,取
474,A00474,53d4,叔,叔
475,A00475,53d7,受,受
476,A00476,53db,叛,叛
477,A00477,53df,叟,叟
478,A00478,66fc,曼,曼
479,A00479,53e2,叢,丛
480,A00480,53e3,口,口
481,A00481,53ef,可,可
482,A00482,53e4,古,古
483,A00483,53f3,右,右
484,A00484,53ec,召,召
485,A00485,53ee,叮,叮
486,A00486,53e9,叩,叩
487,A00487,53e8,叨,叨
488,A00488,53fc,叼,叼
489,A00489,53f8,司,司
490,A00490,53f5,叵,叵
491,A00491,53eb,叫,叫
492,A00492,53e6,另,另
493,A00493,53ea,只,只
494,A00494,53f2,史,史
495,A00495,53f1,叱,叱
496,A00496,53f0,台,台
497,A00497,53e5,句,句
498,A00498,53ed,叭,叭
499,A00499,5409,吉,吉
500,A00500,540f,吏,吏
501,A00501,540c,同,同
502,A00502,540a,吊,吊
503,A00503,5410,吐,吐
504,A00504,5401,吁,吁
505,A00505,540b,吋,吋
506,A00506,5404,各,各
507,A00507,5411,向,向
508,A00508,540d,名,名
509,A00509,5408,合,合
510,A00510,5403,吃,吃
511,A00511,540e,后,后
512,A00512,5406,吆,吆
513,A00513,5412,吒,吒
514,A00514,541d,吝,吝
515,A00515,542d,吭,吭
516,A00516,541e,吞,吞
517,A00517,543e,吾,吾
518,A00518,5426,否,否
519,A00519,544e,呎,呎
520,A00520,5427,吧,吧
521,A00521,5446,呆,呆
522,A00522,5443,呃,呃
523,A00523,5433,吳,吴
524,A00524,5448,呈,呈
525,A00525,5442,呂,吕
526,A00526,541b,君,君
527,A00527,5429,吩,吩
528,A00528,544a,告,告
529,A00529,5439,吹,吹
530,A00530,543b,吻,吻
531,A00531,5438,吸,吸
532,A00532,542e,吮,吮
533,A00533,5435,吵,吵
534,A00534,5436,吶,呐
535,A00535,5420,吠,吠
536,A00536,543c,吼,吼
537,A00537,5440,呀,呀
538,A00538,5431,吱,吱
539,A00539,542b,含,含
540,A00540,541f,吟,吟
541,A00541,5473,味,味
542,A00542,5475,呵,呵
543,A00543,5496,咖,咖
544,A00544,5478,呸,呸
545,A00545,5495,咕,咕
546,A00546,5480,咀,咀
547,A00547,547b,呻,呻
548,A00548,5477,呷,呷
549,A00549,5484,咄,咄
550,A00550,5492,咒,咒
551,A00551,5486,咆,咆
552,A00552,547c,呼,呼
553,A00553,5490,咐,咐
554,A00554,5471,呱,呱
555,A00555,5476,呶,呶
556,A00556,548c,和,和
557,A00557,549a,咚,咚
558,A00558,5462,呢,呢
559,A00559,5468,周,周
560,A00560,548b,咋,咋
561,A00561,547d,命,命
562,A00562,548e,咎,咎
563,A00563,54ac,咬,咬
564,A00564,54c0,哀,哀
565,A00565,54a8,咨,咨
566,A00566,54ce,哎,哎
567,A00567,54c9,哉,哉
568,A00568,54b8,咸,咸
569,A00569,54a6,咦,咦
570,A00570,54b3,咳,咳
571,A00571,54c7,哇,哇
572,A00572,54c2,哂,哂
573,A00573,54bd,咽,咽
574,A00574,54aa,咪,咪
575,A00575,54c1,品,品
576,A00576,54c4,哄,哄
577,A00577,54c8,哈,哈
578,A00578,54af,咯,咯
579,A00579,54ab,咫,咫
580,A00580,54b1,咱,咱
581,A00581,54bb,咻,咻
582,A00582,54e8,哨,哨
583,A00583,5510,唐,唐
584,A00584,5501,唁,唁
585,A00585,5537,唷,唷
586,A00586,54fc,哼,哼
587,A00587,54e5,哥,哥
588,A00588,54f2,哲,哲
589,A00589,5506,唆,唆
590,A00590,54fa,哺,哺
591,A00591,5514,唔,唔
592,A00592,54e9,哩,哩
593,A00593,54ed,哭,哭
594,A00594,54e1,員,员
595,A00595,5509,唉,唉
596,A00596,54ee,哮,哮
597,A00597,54ea,哪,哪
598,A00598,54e6,哦,哦
599,A00599,5527,唧,唧
600,A00600,5546,商,商
601,A00601,556a,啪,啪
602,A00602,5566,啦,啦
603,A00603,5544,啄,啄
604,A00604,555e,啞,哑
605,A00605,5561,啡,啡
606,A00606,5543,啃,啃
607,A00607,554a,啊,啊
608,A00608,5531,唱,唱
609,A00609,5556,啖,啖
610,A00610,554f,問,问
611,A00611,5555,啕,啕
612,A00612,552f,唯,唯
613,A00613,5564,啤,啤
614,A00614,5538,唸,念
615,A00615,552e,售,售
616,A00616,555c,啜,啜
617,A00617,552c,唬,唬
618,A00618,5563,啣,衔
619,A00619,5533,唳,唳
620,A00620,557b,啻,啻
621,A00621,5580,喀,喀
622,A00622,55a7,喧,喧
623,A00623,557c,啼,啼
624,A00624,558a,喊,喊
625,A00625,559d,喝,喝
626,A00626,5598,喘,喘
627,A00627,5582,喂,喂
628,A00628,559c,喜,喜
629,A00629,55aa,喪,丧
630,A00630,5594,喔,喔
631,A00631,5587,喇,喇
632,A00632,558b,喋,喋
633,A00633,5583,喃,喃
634,A00634,55b3,喳,喳
635,A00635,55ae,單,单
636,A00636,559f,喟,喟
637,A00637,553e,唾,唾
638,A00638,55b2,喲,哟
639,A00639,559a,喚,唤
640,A00640,55bb,喻,喻
641,A00641,55ac,喬,乔
642,A00642,55b1,喱,喱
643,A00643,557e,啾,啾
644,A00644,5589,喉,喉
645,A00645,55df,嗟,嗟
646,A00646,55e8,嗨,嗨
647,A00647,55d3,嗓,嗓
648,A00648,55e6,嗦,嗦
649,A00649,55ce,嗎,吗
650,A00650,55dc,嗜,嗜
651,A00651,55c7,嗇,啬
652,A00652,55d1,嗑,嗑
653,A00653,55e3,嗣,嗣
654,A00654,55e4,嗤,嗤
655,A00655,55ef,嗯,嗯
656,A00656,55da,嗚,呜
657,A00657,55e1,嗡,嗡
658,A00658,55c5,嗅,嗅
659,A00659,55c6,嗆,呛
660,A00660,55e5,嗥,嗥
661,A00661,55fe,嗾,嗾
662,A00662,5600,嘀,嘀
663,A00663,561b,嘛,嘛
664,A00664,5617,嘗,尝
